Id,Prediction
0,1202604.2841647768
1,1202604.2841647768
2,3269017.3724721107
3,3269017.3724721107
4,3269017.3724721107
5,3269017.3724721107
6,3269017.3724721107
7,3269017.3724721107
8,3269017.3724721107
9,1202604.2841647768
10,3269017.3724721107
11,1202604.2841647768
12,1202604.2841647768
13,3269017.3724721107
14,1202604.2841647768
15,1202604.2841647768
16,1202604.2841647768
17,1202604.2841647768
18,1202604.2841647768
19,3269017.3724721107
20,1202604.2841647768
21,3269017.3724721107
22,1202604.2841647768
23,1202604.2841647768
24,3269017.3724721107
25,1202604.2841647768
26,1202604.2841647768
27,1202604.2841647768
28,3269017.3724721107
29,1202604.2841647768
30,3269017.3724721107
31,1202604.2841647768
32,1202604.2841647768
33,1202604.2841647768
34,3269017.3724721107
35,1202604.2841647768
36,1202604.2841647768
37,3269017.3724721107
38,1202604.2841647768
39,3269017.3724721107
40,3269017.3724721107
41,3269017.3724721107
42,3269017.3724721107
43,3269017.3724721107
44,3269017.3724721107
45,1202604.2841647768
46,3269017.3724721107
47,1202604.2841647768
48,3269017.3724721107
49,3269017.3724721107
50,3269017.3724721107
51,3269017.3724721107
52,3269017.3724721107
53,3269017.3724721107
54,1202604.2841647768
55,3269017.3724721107
56,3269017.3724721107
57,3269017.3724721107
58,3269017.3724721107
59,3269017.3724721107
60,1202604.2841647768
61,3269017.3724721107
62,1202604.2841647768
63,1202604.2841647768
64,3269017.3724721107
65,3269017.3724721107
66,3269017.3724721107
67,3269017.3724721107
68,3269017.3724721107
69,3269017.3724721107
70,1202604.2841647768
71,1202604.2841647768
72,3269017.3724721107
73,3269017.3724721107
74,3269017.3724721107
75,3269017.3724721107
76,1202604.2841647768
77,3269017.3724721107
78,3269017.3724721107
79,3269017.3724721107
80,3269017.3724721107
81,1202604.2841647768
82,3269017.3724721107
83,3269017.3724721107
84,3269017.3724721107
85,1202604.2841647768
86,1202604.2841647768
87,3269017.3724721107
88,1202604.2841647768
89,3269017.3724721107
90,3269017.3724721107
91,1202604.2841647768
92,1202604.2841647768
93,3269017.3724721107
94,3269017.3724721107
95,3269017.3724721107
96,3269017.3724721107
97,3269017.3724721107
98,3269017.3724721107
99,3269017.3724721107
100,1202604.2841647768
101,1202604.2841647768
102,1202604.2841647768
103,3269017.3724721107
104,1202604.2841647768
105,1202604.2841647768
106,3269017.3724721107
107,3269017.3724721107
108,1202604.2841647768
109,3269017.3724721107
110,1202604.2841647768
111,1202604.2841647768
112,3269017.3724721107
113,1202604.2841647768
114,3269017.3724721107
115,1202604.2841647768
116,3269017.3724721107
117,3269017.3724721107
118,3269017.3724721107
119,3269017.3724721107
120,1202604.2841647768
121,3269017.3724721107
122,1202604.2841647768
123,3269017.3724721107
124,3269017.3724721107
125,1202604.2841647768
126,3269017.3724721107
127,3269017.3724721107
128,3269017.3724721107
129,1202604.2841647768
130,1202604.2841647768
131,3269017.3724721107
132,3269017.3724721107
133,1202604.2841647768
134,3269017.3724721107
135,3269017.3724721107
136,3269017.3724721107
137,1202604.2841647768
138,1202604.2841647768
139,3269017.3724721107
140,3269017.3724721107
141,3269017.3724721107
142,3269017.3724721107
143,3269017.3724721107
144,1202604.2841647768
145,3269017.3724721107
146,3269017.3724721107
147,1202604.2841647768
148,1202604.2841647768
149,1202604.2841647768
150,3269017.3724721107
151,1202604.2841647768
152,3269017.3724721107
153,3269017.3724721107
154,1202604.2841647768
155,3269017.3724721107
156,3269017.3724721107
157,3269017.3724721107
158,3269017.3724721107
159,3269017.3724721107
160,3269017.3724721107
161,3269017.3724721107
162,1202604.2841647768
163,3269017.3724721107
164,3269017.3724721107
165,3269017.3724721107
166,1202604.2841647768
